ACSI_SAV_OPE_MAGASIN_SAV_ID_MAGASIN_SAV;ACSI_SAV_OPE_MAGASIN_SAV_ID_LOCALISATION;ACSI_SAV_OPE_MAGASIN_SAV_CODE;ACSI_SAV_OPE_MAGASIN_SAV_LIBELLE;ACSI_SAV_OPE_LOCALISATION_ID_LOCALISATION;VILLE;REGION;PAYS;ACSI_SAV_OPE_REPARATEUR_ID_REPARATEUR;ACSI_SAV_OPE_REPARATEUR_ID_MAGASIN_SAV;ACSI_SAV_OPE_REPARATEUR_NOM;PRENOM;ID_REPARATION;ACSI_SAV_OPE_REPARATION_ID_PRODUIT;ACSI_SAV_OPE_REPARATION_ID_REPARATEUR;ACSI_SAV_OPE_REPARATION_ID_ETAT;ACSI_SAV_OPE_REPARATION_DATE_DEBUT;ACSI_SAV_OPE_REPARATION_DATE_FIN;TEMPS;ACSI_SAV_OPE_REPARATION_PRIX;ACSI_SAV_OPE_ETAT_ID_ETAT;ACSI_SAV_OPE_ETAT_CODE;ACSI_SAV_OPE_ETAT_LIBELLE;ACSI_SAV_OPE_GARANTIE_ID_GARANTIE;ACSI_SAV_OPE_GARANTIE_CODE;ACSI_SAV_OPE_GARANTIE_DATE_DEBUT;ACSI_SAV_OPE_GARANTIE_DATE_FIN;ACSI_SAV_OPE_PRODUIT_ID_PRODUIT;ID_CLIENT;ACSI_SAV_OPE_PRODUIT_ID_GARANTIE;ID_MAGASIN;ACSI_SAV_OPE_PRODUIT_ID_FOURNISSEUR;ACSI_SAV_OPE_PRODUIT_CODE;ACSI_SAV_OPE_PRODUIT_NOM;TYPE;ACSI_SAV_OPE_PRODUIT_PRIX;ACSI_SAV_OPE_FOURNISSEUR_ID_FOURNISSEUR;ACSI_SAV_OPE_FOURNISSEUR_CODE;RAISON_SOCIALE
5;5;M05;Magasin Electroménager;5;Rennes;Bretagne;France;5;5;Martins;Gilles;26;6;5;3;16-07-2019;16-07-2019;4;50.0;3;E02;Réparé sans garantie;6;G06;18-03-2015;18-03-2017;6;6;6;6;6;P06;Moulinex 2 fentes;Grille-Pain;15.0;6;F05;Fournisseur JYG
6;6;M06;Hyper Magasin;6;Lyon;Auvergne-Rhône-Alpes;France;6;6;Hugonet;Jean;6;6;6;4;28-08-2018;28-08-2018;2;0.0;4;E03;Non réparé;6;G06;18-03-2015;18-03-2017;6;6;6;6;6;P06;Moulinex 2 fentes;Grille-Pain;15.0;6;F05;Fournisseur JYG
7;7;M07;Super Magasin;7;Marseille;Provence-Alpes-Côtes dAzur;France;7;7;Patrick;Nicolas;7;7;7;1;09-10-2017;10-10-2017;5;0.0;1;E00;Réparé avec garantie;7;G07;17-11-2017;17-11-2019;7;7;7;7;7;P07;Moulinex Brest;Crépière;40.0;7;F06;Fournisseur RTT
4;4;M04;Magasin Electro;4;Arpajon;Ile-de-France;France;4;4;Portal;Valentin;27;7;4;1;20-03-2018;22-03-2018;6;0.0;1;E00;Réparé avec garantie;7;G07;17-11-2017;17-11-2019;7;7;7;7;7;P07;Moulinex Brest;Crépière;40.0;7;F06;Fournisseur RTT
8;8;M08;Electro Magasin;8;Bordeaux;Nouvelle-Aquitaine;France;8;8;Chasal;Bruno;8;8;8;2;18-01-2019;18-01-2019;4;0.0;2;E01;Echangé avec garantie;8;G08;02-04-2018;02-04-2020;8;8;8;8;8;P08;Moulinex Thé;Théière;30.0;8;F07;Fournisseur T5E
3;3;M03;Magasin Mega;3;Orsay;Ile-de-France;France;3;3;Douin;Arnaud;28;8;3;2;15-10-2019;15-10-2019;1;0.0;2;E01;Echangé avec garantie;8;G08;02-04-2018;02-04-2020;8;8;8;8;8;P08;Moulinex Thé;Théière;30.0;8;F07;Fournisseur T5E
9;9;M09;Electro Super;9;Nantes;Pays de la Loire;France;9;9;Pernault;Patrick;9;9;9;1;19-06-2018;20-06-2018;6;0.0;1;E00;Réparé avec garantie;9;G09;25-07-2017;25-07-2019;9;9;9;9;9;P09;Proline KTEA;Bouilloire;20.0;9;F08;Fournisseur GE5
2;2;M02;Magasin Super;2;Limours;Ile-de-France;France;2;2;Bourbonnot;Marc;29;9;2;3;26-11-2019;27-11-2019;3;40.0;3;E02;Réparé sans garantie;9;G09;25-07-2017;25-07-2019;9;9;9;9;9;P09;Proline KTEA;Bouilloire;20.0;9;F08;Fournisseur GE5
10;10;M10;Electro Hyper;10;Rouen;Haute-Normandie;France;10;10;Lascoste;Claire;10;10;10;1;13-07-2018;15-07-2018;7;0.0;1;E00;Réparé avec garantie;10;G10;19-08-2017;19-08-2019;10;10;10;10;10;P10;Moulinex frite;Friteuse;80.0;10;F09;Fournisseur DGT
1;1;M01;Magasin Hyper;1;Paris;Ile-de-France;France;1;1;Dupre;Nicole;30;10;1;1;25-08-2018;25-08-2018;2;0.0;1;E00;Réparé avec garantie;10;G10;19-08-2017;19-08-2019;10;10;10;10;10;P10;Moulinex frite;Friteuse;80.0;10;F09;Fournisseur DGT
11;11;M11;Electro Mega;11;Lille;Hauts-de-France;France;11;11;Bernard;Henry;11;11;11;3;19-08-2019;22-08-2019;8;80.0;3;E02;Réparé sans garantie;11;G11;15-03-2014;15-03-2016;11;11;11;11;11;P11;Senseo café;Cafetière;70.0;11;F10;Fournisseur HJY
12;12;M12;Electroménager Dépot;12;Calais;Hauts-de-France;France;12;12;Bonnet;Alexandre;12;12;12;2;24-09-2018;24-09-2018;1;0.0;2;E01;Echangé avec garantie;12;G12;02-05-2018;02-05-2020;12;12;12;12;12;P12;Riz à point;Auto-cuiseur;150.0;12;F11;Fournisseur TJH
13;13;M13;Electro y a tout ce qui faut ;13;Caen;Normandie;France;13;13;Lambert;Fabien;13;13;13;4;09-11-2019;11-11-2019;7;0.0;4;E03;Non réparé;13;G13;30-03-2016;30-03-2018;13;13;13;13;13;P13;Break Time;Gaufrier;25.0;13;F12;Fournisseur JYF
14;14;M14;Magasin Centre;14;Montpellier;Occitanie;France;14;14;Gauthier;Abou;14;14;14;1;30-12-2018;30-12-2018;3;0.0;1;E00;Réparé avec garantie;14;G14;28-11-2018;28-11-2020;14;14;14;14;14;P14;Cheese Party;Appareil à raclette;35.0;14;F13;Fournisseur HFT
15;15;M15;Magasin Nord;15;Metz;Grand Est;France;15;15;Clement;Achille;15;15;15;3;05-02-2018;08-02-2018;9;100.0;3;E02;Réparé sans garantie;15;G15;15-01-2016;15-01-2018;15;15;15;15;15;P15;Melangeur;Blender;30.0;15;F14;Fournisseur JUK
16;16;M16;Magasin Sud;16;Amiens;Hauts-de-France;France;16;16;Perrin;Max;16;16;16;2;18-05-2017;19-05-2017;6;0.0;2;E01;Echangé avec garantie;16;G16;08-05-2016;08-05-2018;16;16;16;16;16;P16;Weber2500;Barbecue;300.0;16;F15;Fournisseur 4TG
17;17;M17;Magasin Est;17;Poitiers;Nouvelle-Aquitaine;France;17;17;Morrin;Nathan;17;17;17;3;19-07-2018;19-07-2018;2;25.0;3;E02;Réparé sans garantie;17;G17;01-09-2015;01-03-2017;17;17;17;17;17;P17;Livoo Plancha;Plancha;550.0;17;F16;Fournisseur JFY
18;18;M18;Magasin Ouest;18;Tours;Centre-Val de Loire;France;18;18;Henry;Pascal;18;18;18;1;04-08-2017;04-08-2017;3;0.0;1;E00;Réparé avec garantie;18;G18;22-01-2017;22-01-2019;18;18;18;18;18;P18;Moulinex BM450;Machine à Pain;25.0;18;F17;Fournisseur GTG
19;19;M19;ElectroDomo;19;Dijon;Bourgogne-Franche-Comté;France;19;19;Muller;Maxence;19;19;19;1;26-09-2018;26-09-2018;4;0.0;1;E00;Réparé avec garantie;19;G19;27-02-2017;27-02-2019;19;19;19;19;19;P19;Proline CBM;Micro-ondes;300.0;19;F18;Fournisseur NBV
20;20;M20;Achete Electro;20;Brest;Bretagne;France;20;20;Guerrin;Martin;20;20;20;4;12-05-2019;14-05-2019;8;0.0;4;E03;Non réparé;20;G20;06-10-2015;06-10-2017;20;20;20;20;20;P20;Brandt BHB;Hotte;450.0;20;F19;Fournisseur PAY
